new_id,NAME,ALAND,Pop,PopDen,Respirator,Count,Median_hou,Margin_of_,EV1,tr_Respira,tr_Medin,tr_PopDen
1,De Baca,6016819484,9157,3.941722045,0,0,31028,6138,0.061247041,0,0.083556279,1.371617695
2,Menard,2336237985,10615,11.7680006,0,0,40606,9606,-0.018492017,0,0.078331844,2.465384034
3,Hale,2602109438,170566,169.7722369,38.6,69,47080,2713,0.009254882,14.39490266,0.075599557,5.134457756
4,Armstrong,2354581675,9430,10.37284043,0,0,66563,8051,0.007956282,0,0.069570337,2.339190893
5,Saguache,8206547694,32341,10.20687299,0,0,34410,5288,0.14373601,0,0.081507145,2.323061316
6,Adair,1485822410,110563,192.7270501,53.9,75,32986,2093,-0.006408966,18.36791236,0.082338108,5.26127494
7,Otero,17126456771,328724,49.71227682,38.9,164,42752,2422,0.041613236,14.47648781,0.077369618,3.906251921
8,Catron,17933557078,17697,2.555835956,20.6,10,42480,6192,0.023511368,9.101711614,0.077488226,0.938379355
9,Calhoun,1312707008,109035,215.1284699,39.2,57,55469,4258,-0.011915509,14.55790325,0.072682176,5.371235384
10,Clay,2819870070,51934,47.700446,50.7,43,51191,3678,-0.046568056,17.56530966,0.07409579,3.864940748
11,Sequoyah,1743779418,206793,307.1454247,62.9,180,38328,1622,-0.016180845,20.55961469,0.079424799,5.727321332
12,Orange,864489137,420236,1259.02246,55.3,289,55700,2395,-0.012128445,18.71497907,0.072609719,7.138090874
13,Greenwood,2961143633,30779,26.92122365,59.8,30,42595,2875,-0.004127071,19.81489906,0.077437965,3.292914959
14,Gonzales,2762704863,103337,96.87709809,35.3,47,53006,3721,-0.037514643,13.48576337,0.073478789,4.573443145
15,Fannin,2307250914,170875,191.815397,57.3,140,50761,1798,-0.074940496,19.20670536,0.074245948,5.256533435
16,Doniphan,1019105692,38682,98.30813505,67.7,38,49338,3952,-0.000212283,21.69350509,0.074754343,4.588106781
17,Kerr,2857601859,256827,232.7762798,35.8,186,52473,2685,-0.021451298,13.62494034,0.07365723,5.45007782
18,Republic,1857998461,23428,32.65800337,37.4,18,48022,3895,0.000767448,14.06683099,0.075240962,3.486089952
19,Canadian,2322292275,683548,762.3456096,43.7,304,71157,1481,-0.03404092,15.75982712,0.068464867,6.636400009
20,Refugio,1995545559,36181,46.95898301,34.2,20,48112,5652,-0.013284781,13.17768304,0.075207159,3.849274519
21,Sedgwick,1419419130,11750,21.44010839,55.9,11,45188,6445,0.009534667,18.8629937,0.076347435,3.065263392
22,Decatur,2314199316,14404,16.12063392,48.6,17,44104,4161,0.010619792,17.03116971,0.076793646,2.780100062
23,Jim Hogg,2942674729,26409,23.24392476,0,0,32049,5659,-0.004182396,0,0.082909544,3.146043797
24,Cheyenne,4605713965,9258,5.206189568,0,0,55227,5083,0.063839465,0,0.072758486,1.649848219
25,Dimmit,3441795368,53314,40.11954379,29.3,17,27832,6110,-0.006050571,11.77100009,0.085764852,3.691863592
26,Phillips,2294395639,27038,30.52151024,44,19,48272,1690,0.006092262,15.83873359,0.075147256,3.418431689
27,Custer,1913031959,23202,31.41253324,18.9,10,44644,9674,0.084815858,8.54706717,0.076569684,3.447206961
28,Nolan,2362061743,74831,82.05216929,42.8,42,44346,4193,-0.008017827,15.52222418,0.07669286,4.407355256
29,Brazos,1516472390,1095966,1871.812477,28.1,213,46839,1913,-0.036051729,11.41709497,0.075692731,7.534662479
30,Marshall,962335020,81881,220.3721008,67.2,88,45828,2396,-0.058709087,21.57642904,0.076090175,5.395317485
31,Lyon,2194985525,166494,196.4566304,40.4,78,44191,3806,-0.002122286,14.8819005,0.076757334,5.280441696
32,Hamilton,2580958328,13080,13.12582215,0,0,45000,8976,0.043854345,0,0.076423865,2.574581447
33,Jefferson,2269793029,1276050,1456.06646,43.4,631,48463,1193,-0.012730688,15.68077425,0.07507607,7.283493873
34,La Plata,4376522013,275506,163.0428312,19.3,62,64372,2658,0.051538402,8.678743152,0.070131434,5.094012935
35,Bell,2722825522,1711180,1627.70481,48.7,695,54184,815,-0.065569248,17.05674441,0.073092185,7.39492621
36,Bandera,2048666855,108817,137.5704543,41.8,83,53683,4866,-0.020292584,15.25663252,0.073255321,4.924136181
37,Union,9906866299,20874,5.457190838,0,0,37936,4381,0.123452885,0,0.079621001,1.696934159
38,Wallace,2366348284,7537,8.249347796,0,0,58875,13604,0.052204072,0,0.071650063,2.110134142
39,Hidalgo,4068610451,4246945,2703.524381,19.9,708,38398,891,-0.001932128,8.874885236,0.079390024,7.902311527
40,San Juan,1003660616,3561,9.189351314,0,0,46563,9920,0.038148668,0,0.075800169,2.218045348
41,Riley,1579168236,376482,617.4696006,37.6,96,49910,2479,-0.000363314,14.12170474,0.074547826,6.425629838
42,Schleicher,3394546070,15307,11.67906671,0,0,55677,15264,-0.006668444,0,0.072616916,2.457798069
43,Grayson,2416020062,642798,689.0865048,50.7,431,54370,1905,-0.080460464,17.56530966,0.073032095,6.535366814
44,Ellis,2330762299,144392,160.4519175,34,56,52700,4242,0.013518708,13.12138291,0.07358096,5.077994318
45,Pratt,1903740948,47908,65.17783847,48.6,36,54029,3674,0.006203631,17.03116971,0.073142456,4.17711951
46,Lane,1858080226,7995,11.14432505,0,0,51719,11522,0.019505057,0,0.073913535,2.410930404
47,Harper,2691041192,19234,18.51181622,43.9,13,50114,8214,0.009338234,15.81244762,0.074474882,2.918409243
48,Crosby,2331503433,29305,32.55408031,51.3,20,37899,3153,0.000861813,17.71681607,0.079639649,3.482902716
49,Alfalfa,2244107619,29283,33.79649414,39.9,18,59569,3294,-0.005718569,14.74722186,0.071448831,3.520357074
50,Delta,665192127,26077,101.5337182,60.5,25,46138,5456,-0.066912406,19.9839541,0.075967161,4.620390943
51,Zavala,3360268880,60656,46.7519254,18.6,11,30988,5991,-0.005622812,8.447816063,0.083582152,3.84485544
52,Rockwall,329213365,468208,3683.503919,31.8,139,94767,3323,-0.055500214,12.49602247,0.063914926,8.21161973
53,Trego,2303727353,14291,16.06687091,48.5,14,56810,6910,0.015799507,17.0055808,0.072266671,2.776759445
54,Eastland,2399637922,91352,98.59890854,44.1,66,35325,2490,-0.054210559,15.86500343,0.080995386,4.591060192
55,DeWitt,2354237927,102176,112.4082817,49.3,72,53779,5425,-0.021461599,17.20989621,0.073223915,4.722137615
56,Angelina,2066245670,438035,549.0686158,48.6,261,47714,1985,-0.053521265,17.03116971,0.075357243,6.308223417
57,McLennan,2686132776,1242146,1197.691406,41.1,560,48199,1254,-0.067335682,15.06969734,0.075174556,7.088151154
58,Lamar,2349588921,247658,272.9984868,57.7,207,43562,2785,-0.05614398,19.30449049,0.077021882,5.609466252
59,Leon,2779462025,85490,79.66257427,50.5,77,44818,6788,-0.057999107,17.51470013,0.076498234,4.377799893
60,Pitkin,2514104904,89543,92.24609905,10.1,10,71244,5939,0.067448308,5.409468583,0.068444792,4.524459995
61,Lincoln,2466497920,174272,182.9981191,56.3,133,49362,1963,-0.028906089,18.9614318,0.074745619,5.209475874
